OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME,SHAPE,SIGNID
5123,2000026,,75,STADIUM PLACE,6am - 10pm / 12am Fri,8am - 12am,8am - 10pm,GARAGE,3,6,9,,,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,,N,STADIUM PLACE,17,N,30,30,04/29/2016 08:42:21 PM +0000,"(47.59764331100007, -122.33306403899996)",G15
5124,2000005,,1130,PACIFIC PLACE,5am-2am,5am-2am,5am-2am,GARAGE,5,7,9,,,AMPCO,206-405-2655,,http://www.pacificplaceseattle.com/parking.aspx,,N,PACIFIC PLACE,5,N,479,OPEN,04/29/2016 08:42:21 PM +0000,"(47.61321678500008, -122.33555159399998)",G4
5125,637241,"620 N 34TH ST, SEATTLE, WA   98103",95,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.64985114500007, -122.35045959699994)",
5126,635173,"1058 E MERCER ST, SEATTLE, WA   98102",57,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.62442343500004, -122.31837890399999)",
5127,58064,"1038 ELLIOTT AV W, SEATTLE, WA   98119",10,,,,,,,,,,,,,,,,Y,WILSON MACHINE WORKS,0,,,,,"(47.62841155900003, -122.37041533599995)",
5128,611425,"320 WESTLAKE AV N, SEATTLE, WA   98109",452,Westlake and Terry,5:30am-10pm,8am-7pm,8am-7pm,SURFACE LOT,4,6,,21,,Standard,(206) 623-1279,,http://www.standardparkingnw.com/locations/lot.asp?id=79,,N,WESTLAKE & TERRY GARAGE,0,,,,,"(47.62131108800003, -122.33813687999998)",
5129,640019,"411 PONTIUS AV N, SEATTLE, WA 98109",10,,,,,SURFACE LOT,,,,,1,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.622350519000065, -122.33207872499997)",
5130,635360,"2237 NW 57TH ST, SEATTLE, WA   98107",45,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.66999545900006, -122.38633898799998)",
5131,508955,"600 BROADWAY, SEATTLE, WA   98122",189,600 Broadway Bg,6am-8pm,CLOSED,CLOSED,GARAGE,,,,,,Central,(206) 386-2230,,http://www.parking.com/,,N,CPS - 600 BROADWAY,0,,,,,"(47.60778441600007, -122.32013308799998)",
5132,616848,"2300 6TH AV, SEATTLE, WA   98121",28,,,,,SURFACE LOT,,,,,1,,,,,,N,6TH & BELL,0,,,,,"(47.61703712900004, -122.342115305)",
5133,594278,"105 BLANCHARD ST, SEATTLE, WA   98121",12,,5pm- 7am,24 hours,24 hours,,9,9,,9,,,,,,,N,KEY PARK NORTHWEST,0,,,,,"(47.61275832000007, -122.34467884099996)",
5134,78078,"1964 4TH AV S, SEATTLE, WA   98134",95,,,,,,,,,,,,,,,,Y,CLOTHIER T & CLOTHIER R III,0,,,,,"(47.58420359400003, -122.32826127399994)",
5135,135183,"2605 22ND AV E, SEATTLE, WA   98112",46,,,,,,,,,,,,,,,,Y,HOP IN GROCERY MONTLAKE,0,,,,,"(47.64339469300006, -122.30405753199994)",
5136,4850,"2230 4TH AV S, SEATTLE, WA 98134",113,,,,,,,,,,,,,,,,Y,PACIFIC IRON & METAL,0,,,,,"(47.58240622800008, -122.32865585599995)",
5137,593910,"1001 E PINE ST, SEATTLE, WA   98122",32,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.615100598000026, -122.31898353999998)",
5138,636326,"1531 UTAH AV S, SEATTLE, WA   98134",220,,,,,,,,,,,,,,,,N,IPM,0,,,,,"(47.58923952300006, -122.33566454099997)",
5139,546764,"614 MAYNARD AV S, SEATTLE, WA   98104",34,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.59697139000008, -122.32473690599994)",
5140,645751,"2811 E MADISON ST, SEATTLE, WA   98112",10,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.623642532000076, -122.29556131699997)",
5141,76145,"1218 3RD AV, SEATTLE, WA   98101",63,,6:30am-6:30pm,CLOSED,CLOSED,,5,9,,25,,,,,,,N,REPUBLIC,0,,,,,"(47.607687492000025, -122.33543901099995)",
5142,552881,"747 BROADWAY, SEATTLE, WA   98122",540,Broadway Garage,24 hours,24 hours,24 hours,,,,,,,Central,(206) 386-2235,,http://www.parking.com/,,N,CPS - BROADWAY GARAGE,0,,,,,"(47.60884203000006, -122.32192760599997)",
5143,627841,"1420 10TH AV, SEATTLE, WA   98122",60,Lot 21,,,,SURFACE LOT,5,7,,,,International,,,http://www.ipmseattle.com/locations.htm,,N,IPM,0,,,,,"(47.613558100000034, -122.318873285)",
5144,537050,"2801 ALASKAN WY, SEATTLE, WA   98121",112,,,,,,,,,,,,,,,,Y,,0,,,,,"(47.614722940000036, -122.35566210199994)",
5145,602987,"525 DEXTER AV N, SEATTLE, WA   98109",16,Bozotronics Lot,Self park location,Self park location,Self park location,SURFACE LOT,Permit only,Permit only,,Permit only,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=22,,N,523 DEXTER AV N,0,,,,,"(47.62389247700003, -122.34284704599997)",
5146,645295,"211 LENORA ST, SEATTLE, WA   98121",102,,,,,,,,,,,,,,,,Y,,0,,,,,"(47.61245510800006, -122.34238599599996)",
5147,4533,"710 4TH AV N, SEATTLE, WA   98109",47,Seattle Center Lot #28,6am-6pm,Self park location,Self park location,SURFACE LOT,5,5,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.62588792400004, -122.34850396999997)",
5148,625019,"1101 NE BOAT ST, SEATTLE, WA   98105",107,Boat Street Marina #81585,Self park location,Self park location,Self park location,SURFACE LOT,,,,,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=155,,N,BOAT STREET MARINA - LOT,0,,,,,"(47.652456459000064, -122.31695932099996)",
5149,1784,"1763 4TH AV S, SEATTLE, WA   98134",36,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.586384363000036, -122.32938903899998)",
5150,4516,"4228 ROOSEVELT WY NE, SEATTLE, WA   98105",295,U District Lot #11,Self park location,Self park location,Self park location,SURFACE LOT,3,3,,6,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.65917093000007, -122.31749618099997)",
5151,552889,"5300 TALLMAN AV NW, SEATTLE, WA   98107",459,Ballard Garage,24 hours,24 hours,24 hours,,,,,,,Central,(206) 386-2235,,http://www.parking.com/,,N,CPS - BALLARD GARAGE,0,,,,,"(47.66736501400004, -122.37955532099994)",
5152,645731,"1000 6TH AV S, SEATTLE, WA   98134",45,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.59426676800007, -122.32556505699995)",
5153,639858,"333 TAYLOR AV N, SEATTLE, WA   98109",21,,,,,SURFACE LOT,,,,,1,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,,N,REPUBLIC ADLER LOT,0,,,,,"(47.62189913700007, -122.34648464799994)",
5154,625644,"2001 W GARFIELD ST, SEATTLE, WA   98119",1100,,Open Cruise Days Only,Open Cruise Days Only,Open Cruise Days Only,,5,10,,15,,,,,,,N,REPUBLIC - PIER 91,0,,,,,"(47.630636594000066, -122.38259152299997)",
5155,4550,"2120 1ST AV, SEATTLE, WA   98101",56,Belltowm Lot #45,6am-6pm,Self park location,Self park location,SURFACE LOT,7,7,,15,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.612498498000036, -122.34436677999997)",
5156,583158,"1551 9TH AV, SEATTLE, WA   98101",18,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.61323898200004, -122.33223068399997)",
5157,580602,"324 BROADWAY E, SEATTLE, WA   98102",11,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.621849971000074, -122.32051867299998)",
5158,507523,"500 WALL ST, SEATTLE, WA   98121",205,,6:45am-6:30pm,10am-6pm,CLOSED,GARAGE,3.25,5.5,,10,5,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,,N,REPUBLIC,0,,,,,"(47.61778628600007, -122.34523883899999)",
5159,625114,"500 2ND AV W, SEATTLE, WA   98119",28,,,,,SURFACE LOT,,,,,,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.601977831000056, -122.33173998799998)",
5160,642662,"535 TERRY AV N, SEATTLE, WA 98109",152,,,,,,,,,,,,,,,,Y,,0,,,,,"(47.62401911000006, -122.33755221499996)",
5161,4570,"910 N NORTHLAKE WY, SEATTLE, WA   98103",85,Freemont Lot#66,6am-6pm,Self park location,Self park location,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.64887811300008, -122.34650879199995)",
5162,638216,"2301 6TH AV, SEATTLE, WA   98121",80,,24 hours,24 hours,24 hours,,5,5,,17,,,,,,,N,IMPARK,0,,,,,"(47.61641479900004, -122.34300506699998)",
5163,632254,"1111 3RD AV, SEATTLE, WA   98101",366,1111 3rd Avenue Garage,24 hours,24 hours,24 hours,GARAGE,7,17,,34,4,Central,(206) 624-1755,,http://www.parking.com/,,N,CPS - 1111 3RD AVE,0,,,,,"(47.60655392900003, -122.33533178799996)",
5164,17663,"666 S DEARBORN ST, SEATTLE, WA   98104",75,Merchants Parking #43,,,,SURFACE LOT,,,,,2,Merchants Parking/Transia,,,,,N,MERCHANTS PARKING ASSOC,0,,,,,"(47.59644386800005, -122.32414810999995)",
5165,1439,"4105 UNIVERSITY WY NE, SEATTLE, WA   98105",40,,,,,,,,,,,,,,,,Y,JOHN'S,0,,,,,"(47.65700184800005, -122.31349579199997)",
5166,576428,"1501 1ST AV S, SEATTLE, WA   98134",299,Home Plate,,,,SURFACE LOT,,,,6,,International,,,http://www.ipmseattle.com/locations.htm,,N,IPM - HOMEPLATE,0,,,,,"(47.58995010900003, -122.33472340399999)",
5167,4540,"720 N 35TH ST, SEATTLE, WA   98103",25,Freemont Lot #35,6am-6pm,Self park location,Self park location,SURFACE LOT,5,5,,7,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.650666158000035, -122.34870434499999)",
5168,593948,"530 BROAD ST, SEATTLE, WA   98121",40,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.62189913700007, -122.34648464799994)",
5169,607292,"2815 2ND AV, SEATTLE, WA   98121",163,Bay Vista Garage,6:30am - 6pm,CLOSED,CLOSED,GARAGE,3,6,,12,3,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,,N,REPUBLIC,0,,,,,"(47.61706439400007, -122.35140904199994)",
5170,545709,"2210 7TH AV, SEATTLE, WA   98121",26,,24 hours,24 hours,24 hours,,5,5,,17,,,,,,,N,IMPARK,0,,,,,"(47.617149709000046, -122.34032184199998)",
5171,635362,"4244 11TH AV NE, SEATTLE, WA   98105",17,,,,,SURFACE LOT,,,,,1,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.65970289300003, -122.31628967099999)",
5172,647757,"1011 PIKE ST, SEATTLE, WA   98101",120,,,,,,,,,,,,,,,,Y,,0,,,,,"(47.61301187600003, -122.32928869999995)",
5173,582733,"1100 SENECA ST, SEATTLE, WA   98104",43,Sunset Club,,,,SURFACE LOT,,,,,,AMPCO,,,,,N,AMPCO,0,,,,,"(47.61111319200006, -122.32627193999997)",
5174,625115,"220 ELLIOTT AV W, SEATTLE, WA   98119",67,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.620597589000056, -122.36021092499999)",
5175,519374,"1935 2ND AV, SEATTLE, WA   98101",16,,24 hours,24 hours,24 hours,SURFACE LOT,9,9,,18,1,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,,N,REPUBLIC,0,,,,,"(47.61145263700007, -122.34185713899996)",
5176,4513,"1413 HARVARD AV, SEATTLE, WA   98122",111,Capitol Hill #8,Self park location,Self park location,Self park location,SURFACE LOT,5,5,,8,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.613437211000075, -122.32248552499999)",
5177,605509,"2225 ALASKAN WY, SEATTLE, WA   98121",29,,6am - 4pm,6am - 4pm,6am - 4pm,,2,4,,12,,,,,,,N,REPUBLIC - PIER 66,0,,,,,"(47.611373366000066, -122.34947234199996)",
5178,533969,"721 1ST AV, SEATTLE, WA 98104",710,US Bank Garage,6am-9pm,10am-2am,10am-10pm,GARAGE,9.9,11.3,,18.7,7,Central,(206) 624-1755,,http://www.parking.com/,,N,1ST & COLUMBIA GARAGE,15,Y,158,,04/29/2016 08:43:00 PM +0000,"(47.60289565900007, -122.33519445599995)",G16
5179,549410,"1700 7TH AV, SEATTLE, WA   98101",591,,6am-10pm,8am-10pm,9am-10pm,GARAGE,8,8,,30,10,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,,N,IMPARK,0,,,,,"(47.61398707800004, -122.33523202799995)",
5180,586967,"428 WESTLAKE AV N, SEATTLE, WA   98109",21,,7am-6pm,CLOSED,CLOSED,,2,4,,15,,,,,,,N,IMPARK,0,,,,,"(47.622859117000075, -122.33804389999995)",
5181,645739,"1224 MADISON ST, SEATTLE, WA   98104",12,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.61046903400006, -122.32347728499997)",
5182,635176,"2301 5TH AV, SEATTLE, WA   98121",213,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.615975124000045, -122.34368693999994)",
5183,625180,"5247 UNIVERSITY WY NE, SEATTLE, WA   98105",10,,,,,SURFACE LOT,,,,,,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.66784868000008, -122.31346453799995)",
5184,581999,"2407 1ST AV, SEATTLE, WA   98121",63,,,,,SURFACE LOT,,,,,,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.61421512000004, -122.34854256099999)",
5185,4524,"500 3RD AV W, SEATTLE, WA   98119",32,Queen Anne Lot #19,Self park location,Self park location,Self park location,SURFACE LOT,5,5,,5,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.623663743000066, -122.36029963899995)",
5186,595335,"1251 1ST AV S, SEATTLE, WA   98134",60,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.59080861100006, -122.33486787299995)",
5187,635162,"401 E PIKE ST, SEATTLE, WA   98122",40,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.613859113000046, -122.32646955499996)",
5188,52865,"4526 15TH AV NE, SEATTLE, WA   98105",70,,,,,SURFACE LOT,,,,,,UDPA,,,,,N,U-DISTRICT PARKING LOT,0,,,,,"(47.66207561500005, -122.31167204799999)",
5189,616433,"601 BROADWAY, SEATTLE, WA   98122",226,Orthopedic Institute,24 hours,24 hours,24 hours,GARAGE,,,,,15,Central,(206) 386-2235,,http://www.parking.com/,,N,CPS - SWEDISH ORTHOPEDIC INSITUTE,0,,,,,"(47.607782703000055, -122.32110348499998)",
5190,4514,"115 MERCER ST, SEATTLE, WA   98109",23,Seattle Center Lot #9,Self park location,Self park location,Self park location,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.624312141000075, -122.35436155399998)",
5191,625151,"500 17TH AV, SEATTLE, WA   98122",90,Cherry Hill Lot,24 hours,24 hours,24 hours,SURFACE LOT,,,,,,Central,(206) 384-5054,,http://www.parking.com/,,N,CPS - CHERRY HILL,0,,,,,"(47.607018596000046, -122.31108476799994)",
5192,593917,"1820 MINOR AV, SEATTLE, WA   98101",22,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.61782842800005, -122.33134350699999)",
5193,637234,"8517 35TH AV NE, SEATTLE, WA   98115",27,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.69075212600006, -122.29113205799996)",
5194,650084,"1712 1ST AV S, SEATTLE, WA 98134",64,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.58766172000003, -122.33364617199999)",
5195,644905,"2031 NW 57TH ST, SEATTLE, WA 98107",48,,,,,,,,,,,,,,,,N,REPUBLIC,0,,,,,"(47.66998380800004, -122.38350002099997)",
5196,4583,"313 MAYNARD AV S, SEATTLE, WA   98104",47,Interational District Lot #79,6am-6pm,Self park location,Self park location,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.59970387100003, -122.32543033799999)",
5197,650259,"600   ELLIOTT AV W, SEATTLE, WA 98119",30,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.62489556400004, -122.36552524499996)",
5198,545710,"2301 7TH AV, SEATTLE, WA   98101",97,,24 hours,24 hours,24 hours,SURFACE LOT,5,5,,17,2,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,,N,IMPARK,0,,,,,"(47.61731548800003, -122.34180973899998)",
5199,2000011,,94,,,,,,,,,,,,,,,,,,,,,,,"(47.624184022000065, -122.33882610399996)",
5200,2000013,,409,AMAZON PHASE 1A #81865,Self park location,Self park location,Self park location,GARAGE,Permit only,Permit only,Permit only,Permit only,,Standard,(206) 623-3405,,http://www.standardparkingnw.com/locations/lot.asp?id=177,,N,Standard,,,,,,"(47.62230946500006, -122.33685886499995)",
5201,2000003,,,,,,,,,,,,,,,,,,N,WEST SEATTLE JUNCTION ASSOCIATION,0,,,,,"(47.56086771100007, -122.38773348099994)",
5202,625374,"1401 BROADWAY, SEATTLE, WA   98122",277,,6am-12am,6am-12am,6am-12am,,3,6,,21,,,,,,,N,IMPARK,0,,,,,"(47.61318071300008, -122.32121669599996)",
5203,4557,"601 N 34TH ST, SEATTLE, WA   98103",56,Freemont Lot #52,Self park location,Self park location,Self park location,SURFACE LOT,3,3,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,,N,U-PARK,0,,,,,"(47.649422059000074, -122.35024113899999)",
5204,584052,"6300 9TH AV NE, SEATTLE, WA   98115",55,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.67436542200005, -122.31809701099996)",
5205,596062,"300 WESTLAKE AV N, SEATTLE, WA   98109",24,Athletic Supply,Permit only,Permit only,Permit only,SURFACE LOT,Permit only,Permit only,,Permit only,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=25,,Y,TRICK & MURRAY LOT,0,,,,,"(47.62131108800003, -122.33813687999998)",
5206,616532,"1300 E MADISON ST, SEATTLE, WA   98122",52,Bank of America #81151,9am-6pm,9am-1pm,closed,SURFACE LOT,,,,,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=105,,N,BANK OF AMERICA - EAST MADISON,0,,,,,"(47.613746357000025, -122.31527673399995)",
5207,637242,"4131 11TH AV NE, SEATTLE, WA   98105",18,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.657693917000074, -122.31701686099996)",
5208,596079,"4225 ROOSEVELT WY NE, SEATTLE, WA   98105",181,Roosevelt Way Garage #81124,6:30am-7pm,CLOSED,CLOSED,GARAGE,5,9,,12,,Standard,(206) 545-9401,,http://www.standardparkingnw.com/locations/lot.asp?id=46,,N,4225 ROOSEVELT WY NE GARAGE,0,,,,,"(47.65821155100008, -122.31831019699996)",
5209,596080,"4245 ROOSEVELT WY NE, SEATTLE, WA   98105",205,Roosevelt Way Garage #81125,6am-7:30pm,CLOSED,CLOSED,GARAGE,6,7,,12,,Standard,(206) 545-9401,,http://www.standardparkingnw.com/locations/lot.asp?id=47,,N,4245 ROOSEVELT WY NE GARAGE,0,,,,,"(47.65884160400003, -122.31830079899999)",
5210,583989,"2331 42ND AV SW, SEATTLE, WA   98116",101,,,,,,,,,,,,,,,,N,UNITED,0,,,,,"(47.58219989000003, -122.38541884199998)",
5211,530472,"2200 6TH AV, SEATTLE, WA   98101",213,,6am-6pm,CLOSED,CLOSED,,5,8,,15,,,,,,,N,IMPARK,0,,,,,"(47.616409469000075, -122.34111985899995)",
5212,593946,"1818 YALE AV, SEATTLE, WA   98122",28,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.61812303000005, -122.33022669199994)",
5213,645781,"1900 9TH AV, SEATTLE, WA   98101",55,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.61597659500006, -122.33448019999997)",
5214,636328,"1520 10TH AV, SEATTLE, WA   98122",25,,,,,,,,,,,,,,,,N,IPM,0,,,,,"(47.61474191800005, -122.31927219599999)",
5215,611421,"421 8TH AV, SEATTLE, WA   98109",70,Rexland Lot,Self park location,Self park location,Self park location,SURFACE LOT,3,3,,10,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=73,,N,REXLAND LOT,0,,,,,"(47.62262775900007, -122.34143824299997)",
5216,645757,"229 MINOR AV N, SEATTLE, WA 98109",70,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.620502120000026, -122.33334936499995)",
5217,507314,"607 8TH AV S, SEATTLE, WA   98104",7,,,,,,,,,,,,,,,,N,MERCHANTS PARKING ASSOC,0,,,,,"(47.597221458000035, -122.32274288699995)",
5218,573813,"206 BROADWAY, SEATTLE, WA   98122",65,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.62025310800004, -122.32067930799997)",
5219,519370,"2001 2ND AV, SEATTLE, WA   98121",72,,24 hours,24 hours,24 hours,SURFACE LOT,5,5,,20,,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,,N,REPUBLIC,0,,,,,"(47.611708099000055, -122.34231296499996)",
5220,533975,"1150 MARION ST, SEATTLE, WA   98104",1025,Marion and Minor,7am-8pm,CLOSED,CLOSED,GARAGE,,,,,,Central,(206) 386-2235,,http://www.parking.com/,,N,CPS - MARION & MINOR,0,,,,,"(47.609388988000035, -122.32322716499999)",
5221,625128,"5511 22ND AV NW, SEATTLE, WA   98107",24,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.66928777900006, -122.38512423399999)",
5222,556116,"5000 PHINNEY AV N, SEATTLE, WA   98103",140,,,,,,,,,,,,,,,,N,WOODLAND PARK ZOO LOT,0,,,,,"(47.66539631900008, -122.354017366)",
5223,593938,"516 BROAD ST, SEATTLE, WA 98109",36,,,,,SURFACE LOT,,,,,1,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.621451240000056, -122.34704193999994)",
5224,603198,"200 PIKE ST, SEATTLE, WA   98101",322,,6am - 11pm,8am - 2am,8am - 7pm,,7,11,,21,,,,,,,N,REPUBLIC,0,,,,,"(47.60967313900005, -122.33878871999997)",
5225,596069,"206 MINOR AV N, SEATTLE, WA   98109",47,Times Lot #15,Self park location,Self park location,Self park location,SURFACE LOT,3,3,,10,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=33,,N,SEATTLE TIMES LOT,0,,,,,"(47.61997179400004, -122.33259348099995)",
5226,625135,"434 QUEEN ANNE AV N, SEATTLE, WA   98109",12,,,,,SURFACE LOT,,,,,1,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.62310465200005, -122.35630280199996)",
